seed,best_epoch,best_val_roc_auc,selected_threshold,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_sensitivity,test_specificity,cdr_accuracy,cdr_macro_f1,avg_deq_iterations,max_deq_iterations,non_converged_solves,convergence_percentage,feature_mean_std,avg_pairwise_distance,pc1_variance,pc2_variance
42,16,0.7566666666666667,0.42000000000000004,0.7777777777777778,0.7058823529411765,0.8,0.75,0.873015873015873,0.8,0.7619047619047619,0.5833333333333334,0.24561403508771928,10.722222222222221,11,0,100.0,0.016210971400141716,0.16668104688675872,0.9945094585418701,0.0020102057605981827
123,11,0.75,0.42000000000000004,0.4166666666666667,0.4166666666666667,1.0,0.5882352941176471,0.888888888888889,1.0,0.0,0.5833333333333334,0.24561403508771928,10.0,10,0,100.0,0.004960452206432819,0.052014429753892075,0.9577550888061523,0.016386426985263824
2026,16,0.7400000000000001,0.42000000000000004,0.6944444444444444,0.5833333333333334,0.9333333333333333,0.717948717948718,0.8857142857142857,0.9333333333333333,0.5238095238095238,0.5833333333333334,0.24561403508771928,10.333333333333334,11,0,100.0,0.015468331053853035,0.16151866945965118,0.9929294586181641,0.0017381954239681363
